Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
LW - Randall's #1779 -Deli,78734,1/5/2016,100,"2301 S FM 620 RD
LAKEWAY, TX 78734
",2801754,Routine Inspection
LW - Sandeez Hamburger Hut,78734,1/25/2016,97,"113 N FM 620 RD
LAKEWAY, TX 78734
",2800985,Routine Inspection
LW - Santa Catarina,78734,2/16/2017,85,"1310 S FM 620 RD
LAKEWAY, TX 78734
",11175645,Routine Inspection
LW - Sonic,78734,5/21/2014,82,"2102 S FM 620 RD
LAKEWAY, TX 78734
",2800793,Routine Inspection
LW - Starbucks Coffee Company,78734,2/2/2016,100,"2410 S FM 620 RD
LAKEWAY, TX 78734
",10745429,Routine Inspection
LW - Starbucks Kiosk/Randall's,78734,1/5/2016,100,"2301 S FM 620 RD
LAKEWAY, TX 78734
",10999732,Routine Inspection
LW - Table 620,78734,9/27/2016,91,"2000 S FM 620 RD
LAKEWAY, TX 78734
",11430850,Routine Inspection
LW - Taco Bell,78734,2/5/2015,100,"1703 S FM 620 RD
LAKEWAY, TX 78734
",11066788,Routine Inspection
LW - Thundercloud Subs,78738,3/16/2016,89,"2300 LOHMANS SPUR RD Unit 106
LAKEWAY, TX 78738
",2800754,Routine Inspection
LW - Verona Ristaurante Italiano,78734,10/21/2016,94,"900 S FM 620 RD Unit C107
LAKEWAY, TX 78734
",11488154,Routine Inspection
LW - Walgreens 07023,78734,5/21/2015,97,"2401 S FM 620 RD
LAKEWAY, TX 78734
",2803649,Routine Inspection
LW - Wendy's Old Fashion Hamburgers,78738,1/26/2017,100,"2404 S FM 620 RD
LAKEWAY, TX 78738
",11119806,Routine Inspection
LW - Whataburger #796,78734,1/4/2016,98,"2011 S FM 620 RD
LAKEWAY, TX 78734
",2801952,Routine Inspection
LW - Yummi Sushi,78734,10/4/2016,100,"2000 S FM 620 RD
LAKEWAY, TX 78734
",11436870,Routine Inspection
LW- HEB 714,78734,10/4/2016,100,"2000 S FM 620 RD
LAKEWAY, TX 78734
",11430825,Routine Inspection
La Bodega Gourmet,78738,5/31/2016,94,"11500 FM 2244 RD
BEE CAVE, TX 78738
",11313992,Routine Inspection
La Cabana Grill,78669,1/9/2017,90,"21103 W SH 71
SPICEWOOD, TX 78669
",10222706,Routine Inspection
La Campena Restaurant,78617,3/4/2015,100,"5053 E SH 71 WB
AUSTIN, TX 78617
",2802562,Routine Inspection
La Madeleine,78613,6/1/2015,88,"14028 N US 183 HWY SVRD SB Bunit 230
AUSTIN, TX 78613
",11079706,Routine Inspection
La Palapa of Austin,78752,1/28/2015,84,"6640 E US 290 HWY WB
AUSTIN, TX 78752
",2800378,Routine Inspection
Lake Creek Shell,78729,2/1/2017,88,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",2803634,Routine Inspection
Lake Travis High School,78738,2/2/2015,100,"3322 S FM 620 RD
LAKEWAY, TX 78738
",2800680,Routine Inspection
Lake Travis High School ANNEX,78738,4/12/2016,100,"3322 S FM 620 RD
LAKEWAY, TX 78738
",2800687,Routine Inspection
Lake Travis High School Concession Stands,78738,4/2/2015,97,"3322 S FM 620 RD
LAKEWAY, TX 78738
",10186846,Routine Inspection
Larry's Giant Subs,78735,3/30/2016,89,"5030 W US 290 HWY WB Unit 550
AUSTIN, TX 78735
",10671468,Routine Inspection
Little Caesars,78735,2/17/2017,95,"7010 W SH 71 Unit 550
AUSTIN, TX 78735
",11180378,Routine Inspection
Little Caesars Pizza,78750,1/21/2015,97,"13770 N US 183 HWY SB
AUSTIN, TX 78750
",10532387,Routine Inspection
Little Country Diner,78669,1/20/2017,96,"22000 W SH 71
SPICEWOOD, TX 78669
",2802629,Routine Inspection
Lone Star Kolaches,78750,1/19/2017,88,"13764 N US 183 HWY SB
AUSTIN, TX 78750
",10944885,Routine Inspection
Los Jaliscienses #2,78723,6/11/2014,95,"6201 E US 290 HWY EB
AUSTIN, TX 78723
",10869258,Routine Inspection
Los Reyes Mexican Grill & Seafood Restaurant,78750,1/19/2016,87,"13776 N US 183 HWY SB Unit 145
AUSTIN, TX 78750
",10219662,Routine Inspection
Lucy's Fried Chicken,78734,6/6/2016,91,"2900 N FM 620 RD
AUSTIN, TX 78734
",11403648,Routine Inspection
MN &J Rocky Creek BBQ,78620,2/5/2015,100,"17499 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
",2802520,Routine Inspection
MN - Americas Best Value Inn,78653,3/16/2016,100,"11301 E US 290 HWY EB
MANOR, TX 78653
",11302014,Routine Inspection
MN - Beer:30,78653,3/14/2016,100,"11211 E US 290 HWY EB
MANOR, TX 78653
",10806199,Routine Inspection
MN - Cafe 290,78653,1/24/2017,86,"11011 E US 290 HWY EB
MANOR, TX 78653
",11360758,Routine Inspection
MN - Creative World Learning Center - Austin Inc.,78653,1/24/2017,100,"11401 E US 290 HWY EB
MANOR, TX 78653
",10793335,Routine Inspection
MN - Subway,78653,1/28/2016,96,"11211 E US 290 HWY EB
MANOR, TX 78653
",10365166,Routine Inspection
MN - Domino's Pizza,78653,4/25/2016,97,"11211 E US 290 HWY EB
MANOR, TX 78653
",11018822,Routine Inspection
MN - Eintrage Gas Station,78653,9/21/2016,86,"12305 EINTRAGE DR
MANOR, TX 78653
",11508097,Routine Inspection
MN - El Pollo Rico #10,78653,1/18/2017,83,"11828 RING DR
MANOR, TX 78653
",11457812,Routine Inspection
MN - Las Salsas Bar & Grill Mexican Restaurant,78653,1/9/2017,99,"11007 E US 290 HWY EB
MANOR, TX 78653
",11054708,Routine Inspection
MN - Manor Express Mart,78653,1/6/2017,95,"12130 N FM 973 RD
MANOR, TX 78653
",10188186,Routine Inspection
MN - Manor Food Mart,78653,3/7/2016,100,"10905 E US 290 HWY EB
MANOR, TX 78653
",10216838,Routine Inspection
MN - Manor New Tech High School,78653,3/31/2016,94,"10323 E US 290 HWY SVRD EB
MANOR, TX 78653
",10018050,Routine Inspection
MN - Mini Foods Mart,78653,3/8/2016,96,"10400 E US 290 HWY WB
MANOR, TX 78653
",10886197,Routine Inspection
MN - Mr. Jim's,78653,1/9/2017,97,"302 W MURRAY AVE
MANOR, TX 78653
",2803767,Routine Inspection
